"Rider","Country","Team","FP_2016","GC_Mean","GC_Complete","best_GC","worst_GC","Team_Mean","Team_Highest","Country_Mean","Country_Highest","Aus","Aut","Bel","Col","Cro","Cze","Den","Eri","Est","Fra","GBr","Ger","Irl","Ita","Jpn","Ltu","Lux","Ned","Nor","NZl","Pol","Por","RSA","Slo","Spa","Svk","Swi","Ukr","USA"
"Sep Vanmarcke","Bel","Team LottoNlJumbo",104,111.666666666667,3,99,131,96.2916666666667,74,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florian Vachon","Fra","Fortuneo Vital Concept",105,94.5,2,83,106,82.1666666666667,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicolas Edet","Fra","Cofidis Solutions Credits",106,103.666666666667,3,77,128,97.3809523809524,15,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Imanol Erviti Ollo","Spa","Movistar Team",108,95.6666666666667,3,81,118,44.0333333333333,2,54.4444444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Edvald Boasson Hagen","Nor","Dimension Data",109,62,3,53,77,74.0555555555556,13,97,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Michael Matthews","Aus","OricaBikeExchange",110,146,1,146,146,101.533333333333,47,99.9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke Durbridge","Aus","OricaBikeExchange",112,133.5,2,122,145,101.533333333333,47,99.9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryan Coquard","Fra","Direct Energie",113,104,2,103,105,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Julien Vermote","Bel","Etixx QuickStep",114,111,1,111,111,110.791666666667,33,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reinardt Janse Van Rensburg","RSA","Dimension Data",115,91,1,91,91,74.0555555555556,13,91.75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Yukiya Arashiro","Jpn","Lampre Merida",116,82.6666666666667,3,65,99,95.9583333333333,46,82.6666666666667,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brent Bookwalter","USA","BMC Racing Team",117,102.5,2,91,114,63.23125,5,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Markel Irizar","Spa","TrekSegafredo",120,88,1,88,88,51.9583333333333,3,54.4444444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Jerome Cousin","Fra","Cofidis Solutions Credits",121,156,1,156,156,97.3809523809524,15,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roy Curvers","Ned","Team GiantAlpecin",122,124.25,4,101,145,82.5714285714286,9,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gregory Rast","Swi","TrekSegafredo",123,99,2,97,101,51.9583333333333,3,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Jurgen Roelandts","Bel","Lotto Soudal",126,115,4,85,160,106.229166666667,29,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"William Bonnet","Fra","FDJ",127,158,1,158,158,95.5833333333333,35,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samuel Dumoulin","Fra","AG2R La Mondiale",130,125.5,4,90,162,42.4857142857143,6,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Howes","USA","CannondaleDrapac",131,127,1,127,127,95.3916666666667,8,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Michael Albasini","Swi","OricaBikeExchange",132,88.6666666666667,3,70,110,101.533333333333,47,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Andre Greipel","Ger","Lotto Soudal",133,137,5,123,156,106.229166666667,29,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramunas Navardauskas","Ltu","CannondaleDrapac",134,138.75,4,120,157,95.3916666666667,8,138.75,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matteo Bono","Ita","Lampre Merida",136,93,1,93,93,95.9583333333333,46,98.1904761904762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyril Lemoine","Fra","Cofidis Solutions Credits",137,119.333333333333,3,110,136,97.3809523809524,15,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maarten Wynants","Bel","Team LottoNlJumbo",138,124.5,2,117,132,96.2916666666667,74,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stephen Cummings","GBr","Dimension Data",140,88,2,81,95,74.0555555555556,13,74.4722222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geoffrey Soupe","Fra","Cofidis Solutions Credits",142,117,1,117,117,97.3809523809524,15,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matteo Tosatto","Ita","Tinkoff Team",145,115,4,92,126,74.9833333333333,5,98.1904761904762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armindo Fonseca","Fra","Fortuneo Vital Concept",146,125.5,2,113,138,82.1666666666667,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Degenkolb","Ger","Team GiantAlpecin",148,116,3,104,123,82.5714285714286,9,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Kristoff","Nor","Team Katusha",149,132,3,124,147,109,28,97,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fabio Sabatini","Ita","Etixx QuickStep",150,134,3,117,167,110.791666666667,33,98.1904761904762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke Rowe","GBr","Team Sky",151,130,1,130,130,69.2666666666667,1,74.4722222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristijan Koren","Slo","CannondaleDrapac",152,96.8,5,64,135,95.3916666666667,8,96.8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Albert Timmer","Ned","Team GiantAlpecin",153,147.75,4,133,164,82.5714285714286,9,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Andreas Schillinger","Ger","BoraArgon 18",154,144,1,144,144,85.4,24,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Henderson","NZl","Lotto Soudal",155,143,2,124,162,106.229166666667,29,143,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Christophe Laporte","Fra","Cofidis Solutions Credits",157,121,1,121,121,97.3809523809524,15,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yohann Gene","Fra","Direct Energie",158,142.8,5,128,158,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maciej Bodnar","Pol","Tinkoff Team",159,123,3,112,143,74.9833333333333,5,81.3333333333333,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ian Stannard","GBr","Team Sky",161,128.5,2,122,135,69.2666666666667,1,74.4722222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marco Haller","Aut","Team Katusha",162,120,1,120,120,109,28,115.444444444444,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrien Petit","Fra","Direct Energie",164,156,1,156,156,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacopo Guarnieri","Ita","Team Katusha",165,143,1,143,143,109,28,98.1904761904762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcel Kittel","Ger","Etixx QuickStep",166,163.5,2,161,166,110.791666666667,33,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
