"Rider","Year","Riding_Time_hrs"
"Florian Vachon",2013,101.1975
"Florian Vachon",2014,135.000833333333
"Florian Vachon",2015,167.728055555556
"Florian Vachon",2016,139.295
"Frank Schleck",2010,158.136111111111
"Frank Schleck",2011,171.391944444444
"Frank Schleck",2012,200.2625
"Frank Schleck",2014,139.333055555556
"Frank Schleck",2015,117.976111111111
"Frank Schleck",2016,123.833055555556
"Geoffrey Soupe",2010,34.245
"Geoffrey Soupe",2011,79.5847222222222
"Geoffrey Soupe",2012,162.317777777778
"Geoffrey Soupe",2013,96.3922222222222
"Geoffrey Soupe",2014,130.548333333333
"Geoffrey Soupe",2015,162.753333333333
"Geoffrey Soupe",2016,178.331944444444
"George Bennett",2010,52.1327777777778
"George Bennett",2011,20.4236111111111
"George Bennett",2012,85.3794444444444
"George Bennett",2013,152.466666666667
"George Bennett",2014,154.151666666667
"George Bennett",2015,133.253333333333
"George Bennett",2016,94.6219444444444
"Georg Preidler",2010,34.4983333333333
"Georg Preidler",2011,68.0166666666667
"Georg Preidler",2012,123.4725
"Georg Preidler",2013,140.786666666667
"Georg Preidler",2014,211.3075
"Georg Preidler",2015,171.826388888889
"Georg Preidler",2016,231.149722222222
"Geraint Thomas",2010,152.480555555556
"Geraint Thomas",2011,205.826111111111
"Geraint Thomas",2012,156.476666666667
"Geraint Thomas",2013,90.1883333333333
"Geraint Thomas",2014,114.003333333333
"Geraint Thomas",2015,132.465277777778
"Geraint Thomas",2016,122.233055555556
"Greg Henderson",2010,70.7461111111111
"Greg Henderson",2011,129.455
"Greg Henderson",2012,96.9983333333333
"Greg Henderson",2013,72.2938888888889
"Greg Henderson",2014,114.564166666667
"Greg Henderson",2015,157.401944444444
"Greg Henderson",2016,67.6644444444444
"Gregory Rast",2010,142.482777777778
"Gregory Rast",2011,174.230277777778
"Gregory Rast",2012,169.213611111111
"Gregory Rast",2013,128.172777777778
"Gregory Rast",2014,172.371111111111
"Gregory Rast",2015,169.476111111111
"Gregory Rast",2016,165.078055555556
"GrEgory Rast",2014,15.6333333333333
"GrEgory Rast",2015,3.83055555555556
"Greg van Avermaet",2012,19.1252777777778
"Greg Van Avermaet",2010,191.078055555556
"Greg Van Avermaet",2011,181.135833333333
"Greg Van Avermaet",2012,165.258888888889
"Greg Van Avermaet",2013,160.045
"Greg Van Avermaet",2014,201.2025
"Greg Van Avermaet",2015,189.617222222222
"Greg Van Avermaet",2016,154.7625
"Haimar Zubeldia",2010,112.512777777778
"Haimar Zubeldia",2012,41.9436111111111
"Haimar Zubeldia",2014,36.6877777777778
"Haimar Zubeldia",2015,96.9425
"Haimar Zubeldia",2016,99.525
"Ian Stannard",2010,146.994444444444
"Ian Stannard",2011,179.145555555556
"Ian Stannard",2012,197.620555555556
"Ian Stannard",2013,91.6255555555556
"Ian Stannard",2014,69.5922222222222
"Ian Stannard",2015,141.9625
"Ian Stannard",2016,106.202777777778
"Iljo Keisse",2010,90.5255555555556
"Iljo Keisse",2011,30.4883333333333
"Iljo Keisse",2012,120.93
"Iljo Keisse",2013,186.445833333333
"Iljo Keisse",2014,186.193611111111
"Iljo Keisse",2015,222.065833333333
"Iljo Keisse",2016,139.011944444444
"Ilnur Zakarin",2011,37.8683333333333
"Ilnur Zakarin",2012,61.2516666666667
"Ilnur Zakarin",2013,88.1941666666667
"Ilnur Zakarin",2014,74.0077777777778
"Ilnur Zakarin",2015,181.396111111111
"Ilnur Zakarin",2016,170.428333333333
"Imanol Erviti Ollo",2010,59.9486111111111
"Imanol Erviti Ollo",2011,102.191944444444
"Imanol Erviti Ollo",2012,38.15
"Imanol Erviti Ollo",2013,101.280833333333
"Imanol Erviti Ollo",2014,52.5794444444444
"Imanol Erviti Ollo",2015,43.2780555555556
"Imanol Erviti Ollo",2016,103.068611111111
"Jacopo Guarnieri",2010,149.116944444444
